radius;sehnenlaenge;beta
0.072193;0.067899021;56.23286107
0.074347718;0.067899021;55.05858323
0.076502436;0.067899021;53.91830015
0.078657154;0.067577251;52.81114728
0.080811872;0.067157736;51.7362853
0.08296659;0.066413127;50.69289881
0.085121308;0.065541094;49.68019491
0.087276026;0.064388909;48.69740194
0.089430744;0.063081032;47.7437682
0.091585462;0.061611397;46.81856079
0.09374018;0.060078371;45.9210644
0.095894898;0.058531754;45.05058029
0.098049617;0.057008652;44.20642516
0.100204335;0.055535343;43.38793021
0.102359053;0.054129011;42.59444015
0.104513771;0.052799363;41.82531235
0.106668489;0.051550099;41.07991592
0.108823207;0.050380267;40.35763099
0.110977925;0.049285481;39.65784789
0.113132643;0.048259015;38.97996652
0.115287361;0.047292762;38.32339564
0.117442079;0.046378069;37.68755231
0.119596797;0.045506438;37.07186132
0.121751515;0.044670105;36.47575472
0.123906233;0.04386248;35.89867134
0.126060951;0.043078466;35.34005642
0.128215669;0.042314644;34.79936124
0.130370387;0.041569333;34.27604284
0.132525105;0.040842513;33.76956376
0.134679823;0.04013563;33.27939185
0.136834541;0.039451261;32.80500013
0.138989259;0.038792656;32.34586668
0.141143977;0.038163152;31.90147461
0.143298695;0.037565448;31.47131202
0.145453413;0.037000764;31.05487212
0.147608132;0.036467865;30.6516533
0.14976285;0.035961948;30.26115926
0.151917568;0.035473414;29.88289926
0.154072286;0.034917265;29.51638834
0.156227004;0.034408933;29.16114766
0.158381722;0.033925856;28.81670481
0.16053644;0.033464369;28.48259424
0.162691158;0.033021302;28.15835773
0.164845876;0.032593941;27.84354486
0.167000594;0.032179987;27.53771358
0.169155312;0.03177751;27.24043084
0.17131003;0.031384921;26.9512732
0.173464748;0.031000928;26.66982757
0.175619466;0.030624506;26.39569197
0.177774184;0.030254862;26.1284763
0.179928902;0.029891408;25.86780323
0.18208362;0.029533725;25.61330908
0.184238338;0.029181545;25.3646448
0.186393056;0.028834717;25.12147698
0.188547774;0.028493186;24.88348888
0.190702492;0.028156974;24.65038154
0.19285721;0.027826153;24.42187498
0.195011929;0.027500835;24.19770933
0.197166647;0.027181145;23.97764619
0.199321365;0.026867214;23.76146982
0.201476083;0.026559161;23.54898861
0.203630801;0.026257083;23.34003639
0.205785519;0.025961044;23.13447397
0.207940237;0.025671067;22.9321906
0.210094955;0.025387127;22.73310552
0.212249673;0.025109149;22.53716963
0.214404391;0.024837;22.34436706
0.216559109;0.024570489;22.15471696
0.218713827;0.024309371;21.96827521
0.220868545;0.024053345;21.78513624
0.223023263;0.023802059;21.6054349
0.225177981;0.023555115;21.42934837
0.227332699;0.023312077;21.25709809
0.229487417;0.023072481;21.0889518
0.231642135;0.022835843;20.92522561
0.233796853;0.022601673;20.76628605
0.235951571;0.022369489;20.61255231
0.238106289;0.022138832;20.46449839
0.240261007;0.021909285;20.32265538
0.242415725;0.021680492;20.18761377
0.244570444;0.021452179;20.06002584
0.246725162;0.021224174;19.94060801
0.24887988;0.020996437;19.83014334
0.251034598;0.020769082;19.72948405
0.253189316;0.020542404;19.63955405
0.255344034;0.020145308;19.56135157
0.257498752;0.019882099;19.49595183
0.25965347;0.019695553;19.44450972
0.261808188;0.019473238;19.40826261
0.263962906;0.019170629;19.38853312
0.266117624;0.018790309;19.38673198
0.268272342;0.018361162;19.40436098
0.27042706;0.017917564;19.44301592
0.272581778;0.017478584;19.50438958
0.274736496;0.017027172;19.59027485
0.276891214;0.016489359;19.70256778
0.279045932;0.015713451;19.8432708
0.28120065;0.014449218;20.01449589
0.283355368;0.012327097;20.21846785
0.285510086;0.008837381;20.45752764
0.287664804;0.003309414;20.73413572